building_id,db_id,floor_id,bounding_box_min_z
11111111-1111-1111-1111-111111111111,34257,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.18
11111111-1111-1111-1111-111111111111,34259,4e720225-09be-4a20-b117-8e7e1ed6c54f,38.05
11111111-1111-1111-1111-111111111111,34261,4e720225-09be-4a20-b117-8e7e1ed6c54f,42.89
11111111-1111-1111-1111-111111111111,34263,4e720225-09be-4a20-b117-8e7e1ed6c54f,43.21
11111111-1111-1111-1111-111111111111,34265,4e720225-09be-4a20-b117-8e7e1ed6c54f,43.28
11111111-1111-1111-1111-111111111111,34267,4e720225-09be-4a20-b117-8e7e1ed6c54f,42.02
11111111-1111-1111-1111-111111111111,34269,4e720225-09be-4a20-b117-8e7e1ed6c54f,39.36
11111111-1111-1111-1111-111111111111,37428,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.81
11111111-1111-1111-1111-111111111111,37430,4e720225-09be-4a20-b117-8e7e1ed6c54f,33.96
11111111-1111-1111-1111-111111111111,37432,4e720225-09be-4a20-b117-8e7e1ed6c54f,33.96
11111111-1111-1111-1111-111111111111,37434,4e720225-09be-4a20-b117-8e7e1ed6c54f,34.52
11111111-1111-1111-1111-111111111111,37436,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.37
11111111-1111-1111-1111-111111111111,37438,4e720225-09be-4a20-b117-8e7e1ed6c54f,31.41
11111111-1111-1111-1111-111111111111,37440,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.69
11111111-1111-1111-1111-111111111111,37442,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.89
11111111-1111-1111-1111-111111111111,37444,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.51
11111111-1111-1111-1111-111111111111,37446,0ddd2728-b943-435a-9774-6c6f4018c7ea,-61.68
11111111-1111-1111-1111-111111111111,37448,0ddd2728-b943-435a-9774-6c6f4018c7ea,-60.81
11111111-1111-1111-1111-111111111111,37450,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-49.96
11111111-1111-1111-1111-111111111111,37452,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-49.96
11111111-1111-1111-1111-111111111111,37454,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.5
11111111-1111-1111-1111-111111111111,37456,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.5
11111111-1111-1111-1111-111111111111,37458,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-47.5
11111111-1111-1111-1111-111111111111,37460,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.65
11111111-1111-1111-1111-111111111111,37462,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.82
11111111-1111-1111-1111-111111111111,37464,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.82
11111111-1111-1111-1111-111111111111,37466,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.82
11111111-1111-1111-1111-111111111111,37468,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.82
11111111-1111-1111-1111-111111111111,37470,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.82
11111111-1111-1111-1111-111111111111,37472,e6d73e7e-cb1a-4b6d-bac6-4319943e0e3e,-48.82
11111111-1111-1111-1111-111111111111,37474,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.03
11111111-1111-1111-1111-111111111111,37476,0ddd2728-b943-435a-9774-6c6f4018c7ea,-62.03
